"","host_community"
"2018-05-04T15:08:52.751+01",0.00416666666666667
"2018-05-04T15:15:30.223+03",0.00416666666666667
"2018-05-04T15:17:32.314+03",0.00416666666666667
"2018-05-04T15:24:43.300+03",0.00416666666666667
"2018-05-04T15:29:26.774+01",0.00416666666666667
"2018-05-04T15:31:15.951+03",0.00416666666666667
"2018-05-04T15:31:38.773+01",0.00416666666666667
"2018-05-04T15:48:57.561+01",0.00416666666666667
"2018-05-04T16:01:37.793+01",0.00416666666666667
"2018-05-04T16:10:37.486+01",0.00416666666666667
"2018-05-04T16:12:53.178+03",0.00416666666666667
"2018-05-04T16:14:13.060+01",0.00416666666666667
"2018-05-04T16:20:43.676+03",0.00416666666666667
"2018-05-05T10:23:38.929+01",0.00416666666666667
"2018-05-05T10:35:16.243+03",0.00416666666666667
"2018-05-05T10:48:33.567+03",0.00416666666666667
"2018-05-05T11:33:51.977+01",0.00416666666666667
"2018-05-05T12:00:53.776+03",0.00416666666666667
"2018-05-05T12:05:41.242+03",0.00416666666666667
"2018-05-05T12:22:13.323+03",0.00416666666666667
"2018-05-05T12:25:16.261+01",0.00416666666666667
"2018-05-05T12:30:07.166+03",0.00416666666666667
"2018-05-05T12:33:18.270+01",0.00416666666666667
"2018-05-05T12:54:12.820+01",0.00416666666666667
"2018-05-05T12:56:14.518+03",0.00416666666666667
"2018-05-05T13:11:32.840+03",0.00416666666666667
"2018-05-05T13:37:11.447+01",0.00416666666666667
"2018-05-05T13:56:43.702+01",0.00416666666666667
"2018-05-05T14:06:32.136+01",0.00416666666666667
"2018-05-05T14:16:57.501+03",0.00416666666666667
"2018-05-05T14:46:53.937+01",0.00416666666666667
"2018-05-05T14:58:06.453+01",0.00416666666666667
"2018-05-05T14:59:02.739+01",0.00416666666666667
"2018-05-05T15:01:01.665+03",0.00416666666666667
"2018-05-05T15:13:16.445+03",0.00416666666666667
"2018-05-05T15:31:41.784+01",0.00416666666666667
"2018-05-05T15:40:29.972+03",0.00416666666666667
"2018-05-05T16:07:58.779+01",0.00416666666666667
"2018-05-05T16:09:13.293+01",0.00416666666666667
"2018-05-05T16:10:22.393+01",0.00416666666666667
"2018-05-05T16:10:56.599+01",0.00416666666666667
"2018-05-05T17:01:29.769+01",0.00416666666666667
"2018-05-05T17:02:52.838+01",0.00416666666666667
