@_uuid,correct_index,strata,area_urban_rural,area_km,area_km_2,weight,adm1Pcode,adm1NameLa,FCS_4pt,FSI,num_children,has_children,edu_pin_bin,edu_pin_bin_population,health_pin_bin,food_pin_bin,shelter_pin_bin?,wash_pin_bin,pin_number_sectors,overlap_edu_health,overlap_edu_food,overlap_edu_shelter,overlap_edu_wash,overlap_health_food,overlap_health_shelter,overlap_health_wash,overlap_food_shelter,overlap_food_wash,overlap_shelter_wash
6b1917ee-5d47-47de-9c53-e8fdd3dd47d2,1565,"20KM_Urban_<100,000",small_urban,5-20km,20km,0.479190713487348,UKR44,Luhanska,1,1,0,0,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9bd6f106-c13a-4b63-999e-bed29fb6eb2f,1566,"20KM_Urban_<100,000",small_urban,5-20km,20km,0.479190713487348,UKR44,Luhanska,1,2,0,0,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
42e43b3b-51e3-48c2-af75-0a7fd00e41f6,1567,"20KM_Urban_<100,000",small_urban,5-20km,20km,0.479190713487348,UKR44,Luhanska,1,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
b04c1269-52be-427a-b597-4914b636c340,1568,5KM_Rural,rural,5km,20km,0.114767409004604,UKR14,Donetska,1,2,0,0,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cc5add6e-89bc-4ae2-b85a-8674da9b2290,1569,5KM_Rural,rural,5km,20km,0.114767409004604,UKR14,Donetska,1,2,0,0,,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0
88694395-751d-4580-b180-b9ed57d86e46,1570,5KM_Rural,rural,5km,20km,0.114767409004604,UKR14,Donetska,1,2,4,1,1,1,1,0,1,0,3,1,0,1,0,0,1,0,0,0,0
258fb13f-6883-471f-8bf6-905949e179ce,1571,5KM_Rural,rural,5km,20km,0.114767409004604,UKR14,Donetska,1,2,0,0,,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0
73ec467e-ae27-446a-b200-49b91e02810c,1572,5KM_Rural,rural,5km,20km,0.114767409004604,UKR14,Donetska,1,2,0,0,,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0
75ff829d-69f3-430e-860c-0a44df751f93,1573,5KM_Rural,rural,5km,20km,0.114767409004604,UKR14,Donetska,1,2,2,1,1,1,1,0,1,0,3,1,0,1,0,0,1,0,0,0,0
cb2e7373-352b-450d-a530-3305c861bbd9,1574,5KM_Rural,rural,5km,20km,0.114767409004604,UKR14,Donetska,1,2,0,0,,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0
