a4Pcode,strata,samples,population,strata_sample,strata_population,cluster_weight,strata_weight,final_weight,final_weight_normalized
UKR1421284401,NOT_20KM_Rural,4,686,246,436619,0.096626578,1.696199427,0.163897947,3.932144932
UKR1421286401,NOT_20KM_Rural,4,1151,246,436619,0.162124186,1.696199427,0.274994952,6.597520141
UKR1421286601,NOT_20KM_Rural,4,1200,246,436619,0.169026085,1.696199427,0.286701948,6.878387636
UKR1421581301,NOT_20KM_Rural,4,1058,246,436619,0.149024665,1.696199427,0.252775551,6.064445099
UKR1421582001,NOT_20KM_Rural,4,734,246,436619,0.103387622,1.696199427,0.175366025,4.207280437
UKR1421584802,NOT_20KM_Rural,4,732,246,436619,0.103105912,1.696199427,0.174888188,4.195816458
UKR1421781102,NOT_20KM_Rural,4,1098,246,436619,0.154658867,1.696199427,0.262332282,6.293724687
UKR1421781103,NOT_20KM_Rural,4,317,246,436619,0.044651057,1.696199427,0.075737098,1.817040734
UKR1421781104,NOT_20KM_Rural,4,137,246,436619,0.019297145,1.696199427,0.032731806,0.785282588
UKR1421787001,NOT_20KM_Rural,4,1040,246,436619,0.146489273,1.696199427,0.248475021,5.961269284
UKR1422084402,NOT_20KM_Rural,4,86,246,436619,0.012113536,1.696199427,0.020546973,0.492951114
UKR1422088001,NOT_20KM_Rural,4,1229,246,436619,0.173110882,1.696199427,0.293630578,7.044615337
UKR1422088804,NOT_20KM_Rural,4,283,246,436619,0.039861985,1.696199427,0.067613876,1.622153084
UKR1422484201,NOT_20KM_Rural,4,501,246,436619,0.07056839,1.696199427,0.119698063,2.871726838
UKR1422485805,NOT_20KM_Rural,4,245,246,436619,0.034509492,1.696199427,0.058534981,1.404337476
UKR1422756301,NOT_20KM_Rural,4,148,246,436619,0.02084655,1.696199427,0.035359907,0.848334475
UKR1422782303,NOT_20KM_Rural,4,214,246,436619,0.030142985,1.696199427,0.051128514,1.226645795
UKR1422784005,NOT_20KM_Rural,4,357,246,436619,0.05028526,1.696199427,0.085293829,2.046320322
UKR1422785701,NOT_20KM_Rural,4,667,246,436619,0.093950332,1.696199427,0.159358499,3.823237128
UKR1422785702,NOT_20KM_Rural,4,592,246,436619,0.083386202,1.696199427,0.141439628,3.3933379
UKR1423081801,NOT_20KM_Rural,4,721,246,436619,0.101556506,1.696199427,0.172260087,4.132764571
UKR1423381501,NOT_20KM_Rural,4,1673,246,436619,0.235650533,1.696199427,0.399710299,9.589618762
UKR1423386301,NOT_20KM_Rural,4,2505,246,436619,0.352841951,1.696199427,0.598490316,14.35863419
UKR1424280301,NOT_20KM_Rural,4,1667,246,436619,0.234805402,1.696199427,0.398276789,9.555226824
