"","settlement","yes_no_host"
"3486","NC-3812-Z08-001","yes"
"3500","NC-3815-B32-001","yes"
"3511","NC-3812-Z07-001","no"
"3516","NC-3809-F33-001","yes"
"3521","NC-3809-K30-002","yes"
"3536","NC-3809-A24-001","yes"
"3552","NC-3810-N09-001","yes"
"3554","NC-3810-S04-001","yes"
"3661","NB-3811-U12-004","no"
"3665","NC-3901-Z07-002","no"
"3680","NC-3811-H18-001","yes"
"3689","NC-3807-P01-003","no"
"3704","NC-3811-H10-002","yes"
"3713","NC-3811-S12-001","yes"
"3715","NC-3811-X13-001","yes"
"3754","NC-3807-P01-003","yes"
"3762","NC-3811-R17-003","yes"
"3764","NC-3811-X09-001","yes"
"3766","NC-3815-C13-001","yes"
"3770","NC-3811-R17-003","no"
"3784","NC-3811-H18-001","no"
"3851","NC-3905-Y20-003","yes"
"3852","NC-3905-U07-001","yes"
"3944","NB-3811-M31-001","no"
"3951","NA-3804-E14-001","no"
"3958","NB-3812-F01-001","yes"
"3959","NB-3811-R27-001","yes"
"3961","NB-3812-H05-001","yes"
"4001","NB-3815-K33-001","no"
"4002","NB-3811-S33-001","no"
"4003","NB-3816-D01-001","no"
"4006","NB-3812-V01-001","no"
"4008","NC-3805-V24-001","yes"
"4010","NC-3805-T27-001","yes"
"4017","NC-3809-G29-002","yes"
"4069","NC-3810-L20-001","yes"
"4071","NC-3810-S21-001","yes"
"4073","NC-3905-U17-001","no"
"4075","NC-3905-U17-001","yes"
"4121","NA-3805-D23-003","yes"
"4128","NC-3809-B26-003","no"
"4134","NC-3805-Y24-002","no"
"4232","NC-3811-Y32-001","no"
"4234","NC-3805-X27-001","yes"
"4238","NC-3805-R30-001","yes"
"4252","NC-3806-H10-001","yes"
"4263","NC-3806-H10-001","no"
"4273","NC-3810-G06-001","yes"
"4277","NC-3806-F03-001","yes"
"4282","NC-3805-K32-001","yes"
"4314","NC-3805-L28-001","yes"
"4322","NC-3805-Y28-001","yes"
"4361","NC-3805-K32-001","no"
"4377","NB-3811-M31-003","no"
"4391","NC-3810-D19-001","yes"
"4437","NC-3807-P01-001","yes"
"4441","NC-3810-L12-003","no"
"4448","NC-3810-T12-001","yes"
"4450","NC-3814-Z12-001","yes"
"4496","NC-3810-T06-001","yes"
"4500","NC-3810-F06-002","yes"
"4501","NB-3901-M32-002","yes"
"4504","NB-3905-B30-001","yes"
"4523","NC-3807-P01-005","yes"
