"","kiryandongo"
"1.8135633333333332 32.08621333333333 1036.9 7.7",0.00416666666666667
"1.8138016666666668 32.08471833333333 1034.2 7.7",0.00416666666666667
"1.81405 32.091768333333334 1059.0 8.0",0.00416666666666667
"1.8147383 32.0938417 1042.0 10.0",0.00416666666666667
"1.817498 31.9661418 1088.7 10.0",0.00416666666666667
"1.8210633333333335 32.09232333333333 1044.2 7.6",0.00416666666666667
"1.8227682 32.0903832 1041.7 10.0",0.00416666666666667
"1.823656 31.9627136 1088.8 10.0",0.00416666666666667
"1.824485 32.09638833333334 1051.3 7.9",0.00416666666666667
"1.8255247 32.0866761 1051.4 10.0",0.00416666666666667
"1.8261516666666666 31.939705000000004 1100.5 7.6",0.00416666666666667
"1.8266635 31.9632318 1088.0 10.0",0.00416666666666667
"1.8268166666666668 32.08830666666667 1056.7 7.8",0.00416666666666667
"1.8271896 32.0866108 1036.3 10.0",0.00416666666666667
"1.8272883333333336 31.943699999999996 1084.1 7.2",0.00416666666666667
"1.8278866666666667 31.94161166666667 1095.9 7.1",0.00416666666666667
"1.82995 32.24774333333333 1037.9 7.1",0.00416666666666667
"1.830226666666667 31.963746666666665 1078.5 7.4",0.00416666666666667
"1.83047 32.1323717 1063.2 10.0",0.00416666666666667
"1.8304833333333335 32.13346666666666 1077.4 7.5",0.00416666666666667
"1.8313449999999998 31.942920000000004 1088.8 7.1",0.00416666666666667
"1.831442 32.1331507 1071.7 10.0",0.00416666666666667
"1.8317683333333334 32.13168333333333 1063.1 7.1",0.00416666666666667
"1.8329400000000002 31.96390666666667 1081.5 7.4",0.00416666666666667
"1.8333033333333333 31.934438333333333 1108.9 7.8",0.00416666666666667
"1.8334275 31.9087633 1113.0 10.0",0.00416666666666667
"1.8335042 31.9078534 1130.9 10.0",0.00416666666666667
"1.8336083333333335 31.90740333333333 1118.2 7.5",0.00416666666666667
"1.8336383333333335 31.96377166666667 1070.7 7.4",0.00416666666666667
"1.8339716666666666 31.938085 1088.8 7.6",0.00416666666666667
"1.8345083333333334 32.240606666666665 1040.8 7.2",0.00416666666666667
"1.8353233333333336 32.12832166666667 1079.2 7.3",0.00416666666666667
"1.836608333333333 32.128155 1073.8 7.1",0.00416666666666667
"1.8369766666666667 32.12552 1084.7 7.3",0.00416666666666667
"1.8370433333333334 32.12731333333333 1094.4 7.4",0.00416666666666667
"1.8370916666666668 32.126485 1082.5 7.3",0.00416666666666667
"1.8371972 32.1267723 1074.3 10.0",0.00416666666666667
"1.8376542 32.2298843 1056.2 10.0",0.00416666666666667
"1.8379979 32.237562 1041.3 10.0",0.00416666666666667
"1.8380666666666665 32.237085 1040.0 7.5",0.00416666666666667
"1.8384416666666668 31.90599666666667 1107.3 7.2",0.00416666666666667
"1.8391600000000001 32.23654333333333 1030.9 7.3",0.00416666666666667
"1.8392316666666668 32.12789166666666 1084.7 7.2",0.00416666666666667
"1.841095 32.12672166666667 1077.9 7.2",0.00416666666666667
"1.841492 32.2390153 1047.6 10.0",0.00416666666666667
"1.8456625 32.241257 1040.5 10.0",0.00416666666666667
"1.8466683333333331 32.230195 1022.5 7.5",0.00416666666666667
"1.847198333333333 32.22947833333333 1037.2 7.4",0.00416666666666667
"1.8490316666666669 32.23190833333333 1046.2 7.3",0.00416666666666667
"1.8492666666666664 31.902804999999997 1148.3 7.3",0.00416666666666667
"1.8499632 31.9019747 1140.1 10.0",0.00416666666666667
"1.852355 32.22529333333333 1045.9 7.4",0.00416666666666667
"1.8933233333333335 31.925956666666668 1086.3 7.3",0.00416666666666667
"1.895298333333333 31.927546666666665 1081.2 7.3",0.00416666666666667
"1.8965233333333336 32.04846666666666 1089.0 7.5",0.00416666666666667
"1.8965841 32.0536484 1088.2 10.0",0.00416666666666667
"1.8966183333333333 32.053625000000004 1089.1 7.3",0.00416666666666667
"1.8975849999999999 31.927503333333334 1077.9 7.2",0.00416666666666667
"1.89779 32.04535333333333 1089.6 7.3",0.00416666666666667
"1.8979215 32.0539178 1096.2 10.0",0.00416666666666667
"1.8982133 32.0543457 1064.6 10.0",0.00416666666666667
"1.898555 32.05189 1092.0 7.3",0.00416666666666667
"1.898623333333333 32.05370666666667 1079.3 7.3",0.00416666666666667
"1.8987399999999999 32.096880000000006 1077.0 7.3",0.00416666666666667
"1.8995933333333332 31.936413333333334 1063.3 7.4",0.00416666666666667
"1.8997116666666667 32.05449833333333 1086.2 7.2",0.00416666666666667
"1.9000167 31.9310283 1071.5 10.0",0.00416666666666667
"1.9000885 31.9320677 1063.3 10.0",0.00416666666666667
"1.9001144 32.1024861 1070.6 10.0",0.00416666666666667
"1.9001249999999998 32.09849 1065.0 7.3",0.00416666666666667
"1.90048 31.9349067 1069.5 10.0",0.00416666666666667
"1.9007971 32.1031764 1058.1 10.0",0.00416666666666667
"1.9010057 32.102031 1055.0 10.0",0.00416666666666667
"1.9011366666666665 31.93005333333333 1083.6 7.2",0.00416666666666667
"1.9013316666666669 31.930706666666666 1070.1 7.9",0.00416666666666667
"1.9015667 31.9298229 1077.1 10.0",0.00416666666666667
"1.9017666666666666 32.101065 1062.0 7.3",0.00416666666666667
"1.90213 32.10192833333333 1063.0 7.4",0.00416666666666667
"1.9022733333333335 32.052726666666665 1100.2 7.2",0.00416666666666667
"1.9023 32.10242166666667 1038.8 7.6",0.00416666666666667
"1.9023649999999999 32.097115 1069.1 7.5",0.00416666666666667
"1.9025667 31.9291967 1081.5 10.0",0.00416666666666667
"1.9027707 31.9382717 1074.6 10.0",0.00416666666666667
"1.9048516666666666 32.05285833333333 1094.7 7.2",0.00416666666666667
"1.9057633333333333 32.087761666666665 1091.2 7.5",0.00416666666666667
"1.9074783333333334 32.05219666666667 1085.4 7.2",0.00416666666666667
"1.9399214 32.0862713 1116.4 10.0",0.00416666666666667
"1.9406648 32.0869489 1103.9 10.0",0.00416666666666667
"1.94258 32.0981092 1079.1 10.0",0.00416666666666667
"1.9428801 32.0950668 1108.6 10.0",0.00416666666666667
"1.9430396 32.096595 1099.2 10.0",0.00416666666666667
"1.943525 32.0921817 1094.3 10.0",0.00416666666666667
"1.943625 32.091285 1105.6 10.0",0.00416666666666667
"1.9438933333333335 32.09397333333333 1101.3 7.3",0.00416666666666667
"1.9442716 32.092728 1106.3 10.0",0.00416666666666667
"1.94433 32.09480666666666 1091.7 7.5",0.00416666666666667
"1.94435 32.0948 1092.8 7.3",0.00416666666666667
"1.9443945 32.0948114 1099.6 10.0",0.00416666666666667
"1.961655 32.07289166666667 1101.6 7.3",0.00416666666666667
"1.9627116666666666 32.07452166666667 1112.6 7.3",0.00416666666666667
"1.9634106 32.0709035 1098.0 10.0",0.00416666666666667
"1.9640093 32.068802 1098.8 10.0",0.00416666666666667
"1.9645900000000003 32.07203833333333 1106.7 7.3",0.00416666666666667
"1.9647809 32.0717581 1105.6 10.0",0.00416666666666667
"1.9651462 32.0705372 1109.9 10.0",0.00416666666666667
"1.9658177 32.0718876 1118.3 10.0",0.00416666666666667
"1.966272 32.0715774 1105.6 10.0",0.00416666666666667
"1.9666031 32.0712166 1108.6 10.0",0.00416666666666667
"1.9673487 32.064552 1103.9 10.0",0.00416666666666667
"1.9699361 32.0623076 1131.3 10.0",0.00416666666666667
"2.0024433 32.2167833 1075.3 10.0",0.00416666666666667
"2.0025183333333336 32.216593333333336 1086.0 7.4",0.00416666666666667
"2.00293 32.21547333333333 1088.8 7.5",0.00416666666666667
"2.0034183333333333 32.214843333333334 1089.8 7.4",0.00416666666666667
"2.0034366666666665 32.217243333333336 1067.8 7.3",0.00416666666666667
"2.0057667 32.221435 1089.4 10.0",0.00416666666666667
"2.0068061 32.2206551 1093.3 10.0",0.00416666666666667
"2.0070598 32.2240939 1083.2 10.0",0.00416666666666667
"2.0082516666666668 32.21655166666667 1070.0 7.5",0.00416666666666667
"2.0087694 32.2210638 1094.9 10.0",0.00416666666666667
"2.0094576 32.2252174 1075.6 10.0",0.00416666666666667
"2.00966 32.21726666666667 1080.8 7.4",0.00416666666666667
"2.0162456 32.0790806 1094.0 10.0",0.00416666666666667
"2.0212194 32.0817785 1104.2 10.0",0.00416666666666667
"2.021815 32.0830783 1095.2 10.0",0.00416666666666667
"2.024155 32.085233333333335 1096.2 7.3",0.00416666666666667
"2.027585 32.09659333333333 1101.6 7.6",0.00416666666666667
"2.0279616666666667 32.08569833333333 1108.9 7.3",0.00416666666666667
"2.0281233333333333 32.08040166666667 1105.6 7.5",0.00416666666666667
"2.0284616666666664 32.08221666666667 1108.0 7.2",0.00416666666666667
"2.0291516666666665 32.091635 1102.7 7.4",0.00416666666666667
"2.029585 32.08471 1096.1 7.5",0.00416666666666667
"2.030841666666667 32.08112166666667 1088.3 7.4",0.00416666666666667
"2.030971666666667 32.08222833333333 1080.1 7.4",0.00416666666666667
"2.0416866666666666 32.181063333333334 1102.5 7.5",0.00416666666666667
"2.0417932 32.1809798 1102.6 10.0",0.00416666666666667
"2.0431779 32.1861975 1100.3 10.0",0.00416666666666667
"2.0436179 32.1873944 1103.5 10.0",0.00416666666666667
"2.0439316666666665 32.189526666666666 1087.1 7.4",0.00416666666666667
"2.0439479 32.1860299 1092.9 10.0",0.00416666666666667
"2.0441496 32.1873353 1095.0 10.0",0.00416666666666667
"2.04435 32.179536666666664 1095.9 7.3",0.00416666666666667
"2.0444216666666666 32.17957333333333 1103.7 7.3",0.00416666666666667
"2.045398333333333 32.18244333333334 1078.2 7.5",0.00416666666666667
